Date,Adusted Close
2/28/1993,10
3/7/1993,9.95
3/14/1993,10
3/21/1993,9.96
3/28/1993,9.91
4/4/1993,9.87
4/11/1993,9.81
4/18/1993,9.95
4/25/1993,9.77
5/2/1993,9.71
5/9/1993,9.83
5/16/1993,9.85
5/23/1993,9.9
5/30/1993,9.97
6/6/1993,10.01
6/13/1993,9.94
6/20/1993,9.9
6/27/1993,9.87
7/4/1993,10.03
7/11/1993,10.16
7/18/1993,10.28
7/25/1993,10.23
8/1/1993,10.27
8/8/1993,10.35
8/15/1993,10.4
8/22/1993,10.46
8/29/1993,10.53
9/5/1993,10.7
9/12/1993,10.66
9/19/1993,10.67
9/26/1993,10.78
10/3/1993,10.99
10/10/1993,11.06
10/17/1993,11.25
10/24/1993,11.23
10/31/1993,11.34
11/7/1993,11.06
11/14/1993,11.29
11/21/1993,11.03
11/28/1993,11.01
12/5/1993,11.13
12/12/1993,11.08
12/19/1993,11.03
12/26/1993,11.01
1/2/1994,11.23
1/9/1994,11.38
1/16/1994,11.54
1/23/1994,11.69
1/30/1994,11.74
2/6/1994,11.67
2/13/1994,11.73
2/20/1994,11.76
2/27/1994,11.7
3/6/1994,11.7
3/13/1994,11.8
3/20/1994,12
3/27/1994,11.96
4/3/1994,11.38
4/10/1994,11.47
4/17/1994,11.41
4/24/1994,11.29
5/1/1994,11.46
5/8/1994,11.5
5/15/1994,11.37
5/22/1994,11.45
5/29/1994,11.51
6/5/1994,11.58
6/12/1994,11.63
6/19/1994,11.66
6/26/1994,11.3
7/3/1994,11.33
7/10/1994,11.34
7/17/1994,11.47
7/24/1994,11.44
7/31/1994,11.47
8/7/1994,11.5
8/14/1994,11.56
8/21/1994,11.64
8/28/1994,11.77
9/4/1994,11.86
9/11/1994,11.88
9/18/1994,12.01
9/25/1994,11.82
10/2/1994,11.82
10/9/1994,11.61
10/16/1994,11.71
10/23/1994,11.69
10/30/1994,11.65
11/6/1994,11.57
11/13/1994,11.45
11/20/1994,11.39
11/27/1994,11.17
12/4/1994,11.07
12/11/1994,10.76
12/18/1994,10.97
12/25/1994,11.09
1/1/1995,11.23
1/8/1995,11.29
1/15/1995,11.38
1/22/1995,11.36
1/29/1995,11.38
2/5/1995,11.46
2/12/1995,11.64
2/19/1995,11.64
2/26/1995,11.72
3/5/1995,11.75
3/12/1995,11.67
3/19/1995,11.72
3/26/1995,11.73
4/2/1995,11.88
4/9/1995,11.99
4/16/1995,12.12
4/23/1995,12.14
4/30/1995,12.3
5/7/1995,12.28
5/14/1995,12.53
5/21/1995,12.56
5/28/1995,12.65
6/4/1995,12.73
6/11/1995,12.84
6/18/1995,13.05
6/25/1995,13.11
7/2/1995,13.14
7/9/1995,13.42
7/16/1995,13.67
7/23/1995,13.54
7/30/1995,13.82
8/6/1995,13.83
8/13/1995,13.92
8/20/1995,14.16
8/27/1995,14.19
9/3/1995,14.33
9/10/1995,14.64
9/17/1995,14.66
9/24/1995,14.52
10/1/1995,14.47
10/8/1995,14.19
10/15/1995,14.16
10/22/1995,14.1
10/29/1995,13.73
11/5/1995,14
11/12/1995,14.11
11/19/1995,14.14
11/26/1995,14.15
12/3/1995,14.09
12/10/1995,14.19
12/17/1995,14.15
12/24/1995,14.18
12/31/1995,14.21
1/7/1996,14.14
1/14/1996,13.92
1/21/1996,13.85
1/28/1996,14.02
2/4/1996,14.21
2/11/1996,14.36
2/18/1996,14.38
2/25/1996,14.48
3/3/1996,14.49
3/10/1996,14.32
3/17/1996,14.58
3/24/1996,14.74
3/31/1996,14.87
4/7/1996,15.06
4/14/1996,15.03
4/21/1996,15.28
4/28/1996,15.57
5/5/1996,15.65
5/12/1996,15.78
5/19/1996,16.13
5/26/1996,16.3
6/2/1996,16.25
6/9/1996,16.22
6/16/1996,16.17
6/23/1996,15.88
6/30/1996,15.91
7/7/1996,15.81
7/14/1996,15.24
7/21/1996,15.11
7/28/1996,14.83
8/4/1996,15.17
8/11/1996,15.28
8/18/1996,15.41
8/25/1996,15.52
9/1/1996,15.6
9/8/1996,15.72
9/15/1996,15.92
9/22/1996,15.98
9/29/1996,16.07
10/6/1996,16.25
10/13/1996,16.27
10/20/1996,16.35
10/27/1996,16.32
11/3/1996,16.21
11/10/1996,16.42
11/17/1996,16.55
11/24/1996,16.8
12/1/1996,17.01
12/8/1996,17.05
12/15/1996,17.1
12/22/1996,17.27
12/29/1996,16.86
1/5/1997,16.97
1/12/1997,17.17
1/19/1997,17.29
1/26/1997,17.26
2/2/1997,17.34
2/9/1997,17.28
2/16/1997,17.44
2/23/1997,17.44
3/2/1997,17.34
3/9/1997,17.55
3/16/1997,17.44
3/23/1997,17.18
3/30/1997,17.07
4/6/1997,16.74
4/13/1997,16.74
4/20/1997,16.86
4/27/1997,16.58
5/4/1997,17.25
5/11/1997,17.57
5/18/1997,17.76
5/25/1997,18.18
6/1/1997,18.4
6/8/1997,18.68
6/15/1997,19.1
6/22/1997,19.24
6/29/1997,19.39
7/6/1997,19.7
7/13/1997,19.94
7/20/1997,20.13
7/27/1997,20.35
8/3/1997,20.7
8/10/1997,20.82
8/17/1997,20.69
8/24/1997,20.93
8/31/1997,21.45
9/7/1997,21.98
9/14/1997,22.47
9/21/1997,22.73
9/28/1997,22.96
10/5/1997,23.4
10/12/1997,23.62
10/19/1997,23.03
10/26/1997,23.01
11/2/1997,22.28
11/9/1997,22.38
11/16/1997,22.06
11/23/1997,22.29
11/30/1997,22.09
12/7/1997,22.31
12/14/1997,21.74
12/21/1997,21.47
12/28/1997,20.49
1/4/1998,21.13
1/11/1998,20.23
1/18/1998,20.68
1/25/1998,20.59
2/1/1998,20.81
2/8/1998,21.42
2/15/1998,21.85
2/22/1998,21.98
3/1/1998,22.38
3/8/1998,22.57
3/15/1998,22.82
3/22/1998,23.08
3/29/1998,23.21
4/5/1998,23.5
4/12/1998,23.45
4/19/1998,23.84
4/26/1998,23.74
5/3/1998,23.83
5/10/1998,23.68
5/17/1998,23.49
5/24/1998,23.15
5/31/1998,22.83
6/7/1998,22.69
6/14/1998,22.03
6/21/1998,21.84
6/28/1998,22.23
7/5/1998,22.52
7/12/1998,22.55
7/19/1998,22.57
7/26/1998,21.56
8/2/1998,20.73
8/9/1998,20.6
8/16/1998,20.18
8/23/1998,19.68
8/30/1998,17.88
9/6/1998,17.14
9/13/1998,17.29
9/20/1998,17.62
9/27/1998,17.68
10/4/1998,16.96
10/11/1998,15.49
10/18/1998,16.32
10/25/1998,17.61
11/1/1998,18.13
11/8/1998,19.2
11/15/1998,18.83
11/22/1998,18.94
11/29/1998,19.22
12/6/1998,19.06
12/13/1998,18.76
12/20/1998,18.62
12/27/1998,17.29
1/3/1999,17.93
1/10/1999,18.59
1/17/1999,18.45
1/24/1999,18.27
1/31/1999,18.21
2/7/1999,17.71
2/14/1999,17.16
2/21/1999,16.86
2/28/1999,16.71
3/7/1999,16.77
3/14/1999,16.85
3/21/1999,16.64
3/28/1999,16.51
4/4/1999,16.49
4/11/1999,16.6
4/18/1999,17.47
4/25/1999,17.82
5/2/1999,18.14
5/9/1999,18.49
5/16/1999,18.8
5/23/1999,19.24
5/30/1999,18.99
6/6/1999,19.1
6/13/1999,19.06
6/20/1999,19.32
6/27/1999,19.43
7/4/1999,20.19
7/11/1999,20.35
7/18/1999,20.66
7/25/1999,20.11
8/1/1999,20.06
8/8/1999,19.54
8/15/1999,19.76
8/22/1999,19.8
8/29/1999,19.68
9/5/1999,19.77
9/12/1999,19.98
9/19/1999,19.73
9/26/1999,18.86
10/3/1999,18.88
10/10/1999,18.82
10/17/1999,18.29
10/24/1999,18.24
10/31/1999,18.34
11/7/1999,18.73
11/14/1999,19.03
11/21/1999,19.44
11/28/1999,19.31
12/5/1999,19.33
12/12/1999,19.19
12/19/1999,19.14
12/26/1999,17.83
1/2/2000,18.57
1/9/2000,18.37
1/16/2000,18.87
1/23/2000,19.33
1/30/2000,18.63
2/6/2000,19.1
2/13/2000,19.24
2/20/2000,19.47
2/27/2000,19.48
3/5/2000,20.64
3/12/2000,20.73
3/19/2000,20.49
3/26/2000,20.7
4/2/2000,20.2
4/9/2000,20.15
4/16/2000,18.05
4/23/2000,18.83
4/30/2000,19.49
5/7/2000,19.5
5/14/2000,19.17
5/21/2000,18.95
5/28/2000,18.32
6/4/2000,19.28
6/11/2000,19.47
6/18/2000,19.4
6/25/2000,19.14
7/2/2000,19.61
7/9/2000,19.78
7/16/2000,20.4
7/23/2000,20.09
7/30/2000,19.33
8/6/2000,19.73
8/13/2000,20.11
8/20/2000,20.48
8/27/2000,20.68
9/3/2000,21.1
9/10/2000,21.13
9/17/2000,21.08
9/24/2000,20.53
10/1/2000,20.65
10/8/2000,19.97
10/15/2000,19.45
10/22/2000,19.37
10/29/2000,19.32
11/5/2000,20.18
11/12/2000,19.73
11/19/2000,19.93
11/26/2000,19.64
12/3/2000,19.09
12/10/2000,19.62
12/17/2000,19.17
12/24/2000,17.54
12/31/2000,18.42
1/7/2001,18.59
1/14/2001,19.3
1/21/2001,19.58
1/28/2001,19.92
2/4/2001,20.4
2/11/2001,20.51
2/18/2001,20.65
2/25/2001,19.94
3/4/2001,20.05
3/11/2001,20.33
3/18/2001,19.24
3/25/2001,19.02
4/1/2001,19.44
4/8/2001,18.71
4/15/2001,19.27
4/22/2001,19.68
4/29/2001,20.47
